filename,psnr,ssim
000070.npy,33.05503463745117,0.929443359375
000071.npy,33.40120315551758,0.9315056800842285
000072.npy,25.63555145263672,0.7494314908981323
000073.npy,25.079442977905273,0.649946928024292
000074.npy,24.951059341430664,0.6621421575546265
000075.npy,24.58015251159668,0.6606318950653076
000076.npy,33.678707122802734,0.917815089225769
000077.npy,33.55482864379883,0.8322440385818481
000078.npy,30.30412483215332,0.7151398062705994
000079.npy,33.353023529052734,0.8221734762191772
000080.npy,25.446910858154297,0.8424635529518127
000081.npy,26.399383544921875,0.7913113832473755
000082.npy,26.48750114440918,0.7910897731781006
000083.npy,26.574995040893555,0.7897003889083862
000084.npy,23.039539337158203,0.6487911343574524
000085.npy,20.560604095458984,0.7543975710868835
000086.npy,19.45856475830078,0.7256929874420166
000087.npy,19.985206604003906,0.7415014505386353
000088.npy,37.09878921508789,0.9635051488876343
000089.npy,30.248029708862305,0.8661376237869263
000090.npy,31.2762451171875,0.8899288177490234
000091.npy,31.3284854888916,0.8889647722244263
000092.npy,26.123878479003906,0.6846385598182678
000093.npy,35.50474548339844,0.8728847503662109
000094.npy,33.44062423706055,0.8579239249229431
000095.npy,35.618499755859375,0.8746191263198853
000096.npy,20.857097625732422,0.6883766651153564
000097.npy,29.002696990966797,0.765743613243103
000098.npy,29.23086166381836,0.7641825675964355
000099.npy,28.906232833862305,0.7626240849494934
000100.npy,32.814212799072266,0.896422803401947
000101.npy,33.672569274902344,0.8416906595230103
000102.npy,32.938270568847656,0.8278104066848755
000103.npy,33.02559280395508,0.8275047540664673
000104.npy,27.746809005737305,0.8141335844993591
000105.npy,33.79695510864258,0.9600082635879517
000106.npy,35.3896369934082,0.9668878316879272
000107.npy,33.96586990356445,0.9626195430755615
000108.npy,19.38805389404297,0.678317666053772
000109.npy,23.082353591918945,0.8153190612792969
000110.npy,24.277938842773438,0.8141962885856628
000111.npy,24.418466567993164,0.8090567588806152
000112.npy,26.41277313232422,0.7521008849143982
000113.npy,31.899168014526367,0.7902683019638062
000114.npy,31.004745483398438,0.7667827606201172
000115.npy,30.301189422607422,0.9164059162139893
000116.npy,25.81441879272461,0.6798173189163208
000117.npy,26.477325439453125,0.7096197009086609
000118.npy,26.612010955810547,0.7083926200866699
000119.npy,26.231876373291016,0.6923420429229736
000120.npy,28.961807250976562,0.8817320466041565
000121.npy,33.628875732421875,0.9521743059158325
000122.npy,31.593276977539062,0.9233662486076355
000123.npy,31.73908042907715,0.9333021640777588
000124.npy,23.726146697998047,0.8380725383758545
000125.npy,27.977659225463867,0.8367323875427246
000126.npy,28.35542869567871,0.8431351184844971
000127.npy,28.41042709350586,0.8507267236709595
000128.npy,32.894569396972656,0.7987694144248962
000129.npy,23.773679733276367,0.7777264714241028
000130.npy,24.213407516479492,0.8007819652557373
000131.npy,24.386232376098633,0.8042744398117065
000132.npy,31.423234939575195,0.9002271294593811
000133.npy,22.202083587646484,0.3836314380168915
000134.npy,27.059906005859375,0.5636745095252991
000135.npy,21.839237213134766,0.40229105949401855
000136.npy,28.47134017944336,0.8669707775115967
000137.npy,29.123275756835938,0.7392234206199646
000138.npy,28.840749740600586,0.7328718900680542
000139.npy,29.034425735473633,0.7352668046951294
000140.npy,24.692684173583984,0.8234856128692627
000141.npy,25.975873947143555,0.8874253630638123
000142.npy,25.93604850769043,0.8840391635894775
000143.npy,25.544261932373047,0.8718112707138062
000144.npy,27.36446762084961,0.6719778776168823
000145.npy,31.0404052734375,0.6092743277549744
000146.npy,30.79816436767578,0.6087248921394348
000147.npy,31.1256103515625,0.6134709119796753
000148.npy,25.86920738220215,0.7486069202423096
000149.npy,28.776409149169922,0.5623087882995605
000150.npy,28.319927215576172,0.5662232637405396
000151.npy,28.52385711669922,0.5668935775756836
000152.npy,23.090328216552734,0.6234052181243896
000153.npy,29.806978225708008,0.7042573690414429
000154.npy,30.393997192382812,0.7495784759521484
000155.npy,29.860000610351562,0.7148427963256836
000156.npy,26.87582778930664,0.897829532623291
000157.npy,32.72864532470703,0.9393006563186646
000158.npy,33.375972747802734,0.9464130401611328
000159.npy,33.570167541503906,0.9512813091278076
000160.npy,31.530187606811523,0.9078302383422852
000161.npy,31.10967254638672,0.9055323600769043
000162.npy,30.732152938842773,0.9075331687927246
000163.npy,31.651535034179688,0.9191762208938599
000164.npy,25.407291412353516,0.7178527116775513
000165.npy,30.138031005859375,0.8567107915878296
000166.npy,30.116472244262695,0.8378708362579346
000167.npy,30.694101333618164,0.8459035158157349
000168.npy,24.82973289489746,0.7823183536529541
000169.npy,33.595176696777344,0.826156497001648
000170.npy,34.136268615722656,0.8533222675323486
000171.npy,37.03144454956055,0.9443485140800476
000172.npy,28.509483337402344,0.5629637241363525
000173.npy,23.717918395996094,0.3147931694984436
000174.npy,24.233226776123047,0.30875808000564575
000175.npy,24.02216148376465,0.32735949754714966
000176.npy,24.602067947387695,0.7289186120033264
000177.npy,26.324542999267578,0.4057908058166504
000178.npy,30.51754379272461,0.5880913734436035
000179.npy,26.19205093383789,0.37825965881347656
000180.npy,37.660011291503906,0.9433643221855164
000181.npy,29.01136589050293,0.7596975564956665
000182.npy,28.369047164916992,0.7729957103729248
000183.npy,28.32158088684082,0.7644568085670471
000184.npy,24.03494644165039,0.6790087223052979
000185.npy,33.076560974121094,0.9113433361053467
000186.npy,31.781084060668945,0.8980808258056641
000187.npy,31.889266967773438,0.8967772722244263
000188.npy,24.922143936157227,0.751335620880127
000189.npy,25.364912033081055,0.7961990237236023
000190.npy,25.741483688354492,0.8003624677658081
000191.npy,26.026897430419922,0.7917138338088989
000192.npy,28.722274780273438,0.9364963173866272
000193.npy,28.099647521972656,0.9004200100898743
000194.npy,28.885929107666016,0.9078856706619263
000195.npy,29.17976188659668,0.9117230772972107
000196.npy,24.616085052490234,0.6856597661972046
000197.npy,28.542274475097656,0.8084191679954529
000198.npy,27.880958557128906,0.7844308614730835
000199.npy,27.490942001342773,0.7746630311012268
000200.npy,26.87000274658203,0.41425830125808716
000201.npy,32.721031188964844,0.751326322555542
000202.npy,33.69609451293945,0.786202073097229
000203.npy,33.628726959228516,0.7725034952163696
000204.npy,25.08783531188965,0.8940194845199585
000205.npy,22.84149932861328,0.7674074769020081
000206.npy,21.583541870117188,0.7206873893737793
000207.npy,22.259403228759766,0.7513660788536072
000208.npy,31.863431930541992,0.7557516694068909
000209.npy,31.949874877929688,0.7775990962982178
000210.npy,32.28865432739258,0.7846752405166626
000211.npy,31.55391502380371,0.7525014877319336
000212.npy,31.05453872680664,0.9175411462783813
000213.npy,37.089271545410156,0.9479701519012451
000214.npy,38.11165237426758,0.9568624496459961
000215.npy,38.59066390991211,0.9671839475631714
000216.npy,30.501998901367188,0.8915286064147949
000217.npy,30.13320541381836,0.8172762989997864
000218.npy,30.951406478881836,0.8515281081199646
000219.npy,31.668258666992188,0.8662900924682617
000220.npy,34.09804916381836,0.8169952630996704
000221.npy,24.073474884033203,0.716690182685852
000222.npy,25.302085876464844,0.7388473749160767
000223.npy,22.678241729736328,0.7863927483558655
000224.npy,24.69827651977539,0.4816095530986786
000225.npy,26.73877716064453,0.53154456615448
000226.npy,25.26994514465332,0.4885033071041107
000227.npy,25.59495735168457,0.49690020084381104
000228.npy,19.272323608398438,0.7896418571472168
000229.npy,21.09939956665039,0.7386149168014526
000230.npy,20.924386978149414,0.7169473171234131
000231.npy,21.55559730529785,0.7171119451522827
000232.npy,21.91278839111328,0.7207918167114258
000233.npy,23.320629119873047,0.6946843862533569
000234.npy,23.55015754699707,0.6981894373893738
000235.npy,23.348724365234375,0.6968062520027161
000236.npy,28.750221252441406,0.8239219784736633
000237.npy,26.577499389648438,0.7920833826065063
000238.npy,26.868667602539062,0.7768963575363159
000239.npy,27.75555419921875,0.7944181561470032
000240.npy,23.711162567138672,0.862442135810852
000241.npy,35.97193908691406,0.9712839126586914
000242.npy,36.42273712158203,0.972720742225647
000243.npy,36.80521011352539,0.9770172834396362
000244.npy,20.216903686523438,0.720658004283905
000245.npy,28.148700714111328,0.9313771724700928
000246.npy,26.607704162597656,0.9263047575950623
000247.npy,27.27603530883789,0.9311140179634094
000248.npy,28.458873748779297,0.8523160219192505
000249.npy,22.913604736328125,0.7782976031303406
000250.npy,21.8814640045166,0.7447377443313599
000251.npy,23.060548782348633,0.7781332731246948
000252.npy,29.03812026977539,0.8097529411315918
000253.npy,30.51375961303711,0.8769052624702454
000254.npy,29.47763442993164,0.8439322710037231
000255.npy,30.788063049316406,0.8784233331680298
000256.npy,24.61795997619629,0.8387773633003235
000257.npy,20.97294807434082,0.7359097003936768
000258.npy,21.56354522705078,0.7619585990905762
000259.npy,21.873611450195312,0.782120943069458
000260.npy,25.679119110107422,0.7526028156280518
000261.npy,29.215858459472656,0.8542885780334473
000262.npy,28.106393814086914,0.8505457043647766
000263.npy,28.43501091003418,0.8382121324539185
000264.npy,24.349159240722656,0.7761777639389038
000265.npy,32.77516174316406,0.880463719367981
000266.npy,32.669395446777344,0.8786947131156921
000267.npy,31.724506378173828,0.8728879690170288
000268.npy,33.597267150878906,0.8983833193778992
000269.npy,26.608280181884766,0.8242738246917725
000270.npy,27.03708267211914,0.8338152170181274
000271.npy,26.934864044189453,0.8339618444442749
000272.npy,20.677345275878906,0.755752444267273
000273.npy,25.09171485900879,0.351410835981369
000274.npy,24.563602447509766,0.35452473163604736
000275.npy,25.134504318237305,0.33593595027923584
000276.npy,37.165367126464844,0.9728770852088928
000277.npy,36.310935974121094,0.9584676027297974
000278.npy,33.90739440917969,0.9354841709136963
000279.npy,34.300567626953125,0.9313815832138062
000280.npy,22.162092208862305,0.7597993612289429
000281.npy,26.209430694580078,0.8681662082672119
000282.npy,26.88499641418457,0.8703330159187317
000283.npy,26.229917526245117,0.872978925704956
